_id,Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
1800,2021,4,Apr,Sunday,Weekend,Tram,185250
1805,2021,4,Apr,Thursday,Normal Weekday,Tram,367050
1810,2021,4,Apr,Thursday,School Holiday Weekday,Tram,365900
1815,2021,4,Apr,Tuesday,Normal Weekday,Tram,341250
1820,2021,4,Apr,Tuesday,School Holiday Weekday,Tram,327700
1825,2021,4,Apr,Wednesday,Normal Weekday,Tram,374100
1830,2021,4,Apr,Wednesday,School Holiday Weekday,Tram,354700
1835,2021,5,May,Friday,Normal Weekday,Tram,296100
1840,2021,5,May,Monday,Normal Weekday,Tram,268650
1845,2021,5,May,Saturday,Weekend,Tram,248000
1850,2021,5,May,Sunday,Weekend,Tram,176700
1855,2021,5,May,Thursday,Normal Weekday,Tram,335900
1860,2021,5,May,Tuesday,Normal Weekday,Tram,345800
1865,2021,5,May,Wednesday,Normal Weekday,Tram,345850
1870,2021,6,Jun,Friday,Normal Weekday,Tram,176300
1875,2021,6,Jun,Monday,Normal Weekday,Tram,140450
1880,2021,6,Jun,Monday,School Holiday Weekday,Tram,211550
1885,2021,6,Jun,Saturday,Weekend,Tram,160200
1890,2021,6,Jun,Sunday,Weekend,Tram,115300
1895,2021,6,Jun,Thursday,Normal Weekday,Tram,145050
1900,2021,6,Jun,Tuesday,Normal Weekday,Tram,138950
1905,2021,6,Jun,Tuesday,School Holiday Weekday,Tram,230300
1910,2021,6,Jun,Wednesday,Normal Weekday,Tram,137550
1915,2021,6,Jun,Wednesday,School Holiday Weekday,Tram,241050
1920,2021,7,Jul,Friday,Normal Weekday,Tram,121250
1925,2021,7,Jul,Friday,School Holiday Weekday,Tram,254150
1930,2021,7,Jul,Monday,Normal Weekday,Tram,129450
1935,2021,7,Jul,Monday,School Holiday Weekday,Tram,213900
1940,2021,7,Jul,Saturday,Weekend,Tram,147950
1945,2021,7,Jul,Sunday,Weekend,Tram,97650
1950,2021,7,Jul,Thursday,Normal Weekday,Tram,179400
1955,2021,7,Jul,Thursday,School Holiday Weekday,Tram,249950
1960,2021,7,Jul,Tuesday,Normal Weekday,Tram,142950
1965,2021,7,Jul,Tuesday,School Holiday Weekday,Tram,238350
1970,2021,7,Jul,Wednesday,Normal Weekday,Tram,177400
1975,2021,7,Jul,Wednesday,School Holiday Weekday,Tram,251850
1980,2021,8,Aug,Friday,Normal Weekday,Tram,72800
1985,2021,8,Aug,Monday,Normal Weekday,Tram,97350
1990,2021,8,Aug,Saturday,Weekend,Tram,51050
1995,2021,8,Aug,Sunday,Weekend,Tram,60700
2000,2021,8,Aug,Thursday,Normal Weekday,Tram,110100
2005,2021,8,Aug,Tuesday,Normal Weekday,Tram,102200
2010,2021,8,Aug,Wednesday,Normal Weekday,Tram,112300
2015,2021,9,Sep,Friday,Normal Weekday,Tram,72400
2020,2021,9,Sep,Monday,Normal Weekday,Tram,68950
2025,2021,9,Sep,Monday,School Holiday Weekday,Tram,72050
2030,2021,9,Sep,Saturday,Weekend,Tram,43800
2035,2021,9,Sep,Sunday,Weekend,Tram,41000
2040,2021,9,Sep,Thursday,Normal Weekday,Tram,74450
2045,2021,9,Sep,Thursday,School Holiday Weekday,Tram,76300
2050,2021,9,Sep,Tuesday,Normal Weekday,Tram,70050
2055,2021,9,Sep,Tuesday,School Holiday Weekday,Tram,74250
2060,2021,9,Sep,Wednesday,Normal Weekday,Tram,74450
2065,2021,9,Sep,Wednesday,School Holiday Weekday,Tram,68300
